time	V(v_controle)	V(v_integrateur)
1.080383902994713e-02	2.848885e-01	2.245412e-01
1.080386139286966e-02	2.848885e-01	2.245627e-01
1.080387744698195e-02	2.848885e-01	2.245781e-01
1.080388699430381e-02	2.848885e-01	2.245873e-01
1.080389529094347e-02	2.848885e-01	2.245953e-01
1.080390442162463e-02	2.848885e-01	2.246041e-01
1.080391382836141e-02	2.848885e-01	2.246131e-01
1.080392408009704e-02	2.848885e-01	2.246230e-01
1.080393476507557e-02	2.848885e-01	2.246332e-01
1.080394672289076e-02	2.848885e-01	2.246448e-01
1.080396391549861e-02	2.848885e-01	2.246613e-01
1.080398639121343e-02	2.848885e-01	2.246829e-01
1.080402154513026e-02	2.848885e-01	2.247167e-01
1.080405435587620e-02	2.848885e-01	2.247482e-01
1.080409178859411e-02	2.848885e-01	2.247842e-01
1.080413508422013e-02	2.848885e-01	2.248259e-01
1.080418899480638e-02	2.848885e-01	2.248777e-01
1.080456242970229e-02	2.848885e-01	2.252368e-01
1.080551368097295e-02	2.848885e-01	2.261514e-01
1.080646493224361e-02	2.848885e-01	2.270661e-01
1.080741618351427e-02	2.848885e-01	2.279807e-01
1.080836743478493e-02	2.848885e-01	2.288953e-01
1.080931868605560e-02	2.848885e-01	2.298100e-01
1.081026993732626e-02	2.848885e-01	2.307246e-01
1.081122118859692e-02	2.848885e-01	2.316393e-01
1.081123083661902e-02	2.848885e-01	2.316485e-01
1.081555063885817e-02	2.848885e-01	2.358021e-01
1.081559765487785e-02	2.848885e-01	2.358473e-01
1.081561848401838e-02	2.848885e-01	2.358674e-01
1.081563026435721e-02	2.848885e-01	2.358787e-01
1.081563853278533e-02	2.848885e-01	2.358866e-01
1.081564603526297e-02	2.848885e-01	2.358938e-01
1.081565071526508e-02	2.848885e-01	2.358983e-01
1.081565639527365e-02	2.848885e-01	2.359038e-01
1.081566092532745e-02	2.848885e-01	2.359082e-01
1.081566623172548e-02	2.848885e-01	2.359133e-01
1.081567200873691e-02	2.848885e-01	2.359188e-01
1.081567969797053e-02	2.848885e-01	2.359262e-01
1.081568932090509e-02	2.848885e-01	2.359355e-01
1.081570434344453e-02	2.848885e-01	2.359499e-01
1.081572223457254e-02	2.848885e-01	2.359671e-01
1.081574190508911e-02	2.848885e-01	2.359860e-01
1.081576053909161e-02	2.848885e-01	2.360040e-01
1.081578047160063e-02	2.848885e-01	2.360231e-01
1.081580287653730e-02	2.848885e-01	2.360446e-01
1.081581662591980e-02	2.848885e-01	2.360579e-01
1.081582515255924e-02	2.848885e-01	2.360661e-01
1.081583477363083e-02	2.848885e-01	2.360753e-01
1.081584454556884e-02	2.848885e-01	2.360847e-01
1.081585552680357e-02	2.848885e-01	2.360953e-01
1.081586609635047e-02	2.848885e-01	2.361054e-01
1.081587746965427e-02	2.848885e-01	2.361164e-01
1.081588982072001e-02	2.848885e-01	2.361283e-01
1.081590575950609e-02	2.848885e-01	2.361436e-01
1.081592919548281e-02	2.848885e-01	2.361661e-01
1.081596810363135e-02	2.848885e-01	2.362035e-01
1.081600034527744e-02	2.848885e-01	2.362345e-01
1.081603683571188e-02	2.848885e-01	2.362696e-01
1.081607675965530e-02	2.848885e-01	2.363080e-01
1.081613224533783e-02	2.848885e-01	2.363613e-01
